RowLabels,\tau,\sigma,c,\lambda,p_{common},\alpha,\sigma_{C=1},\sigma_{C=2}
S1,-54.064,58.626,100.9,0.007,0.54,0.004,72.639,198.68
S2,17.962,104.352,122.428,0.037,0.603,0.004,89.579,337.907
S3,10.708,90.464,187.686,0.008,0.515,0.007,43.362,259.451
S4,-17.748,105.662,117.82,0.045,0.126,0.018,25.881,279.187
S5,27.642,78.688,132.768,0.049,0.4,0.009,80.47,253.268
S6,-16.321,54.812,87.51,0.025,0.335,0.005,76.397,568.81
S7,-34.803,64.763,83.946,0.051,0.78,0.003,18.781,222.925
S8,-1.269,71.868,67.608,0.017,0.372,0.009,38.968,241.72
S9,9.8,37.075,47.215,0.015,0.631,0.007,72.057,556.946
Mean,-6.455,74.034,105.32,0.028,0.478,0.007,57.571,324.322
S.D.,8.85,7.705,13.733,0.006,0.064,0.002,8.658,46.883
Lower bound,-200,10,1,0,0,0,1,100
Upper bound,200,200,350,0.06,1,0.02,300,1000
